index,Used Price
878,66250
879,58250
880,68250
881,60250
888,54800
889,57100
890,61600
891,63900
892,79900
893,93300
894,113600
895,97100
896,87500
897,90400
898,100000
899,102500
900,112100
901,87500
902,90400
903,102500
904,144900
905,145000
906,62200
907,72800
908,76700
909,80800
910,74700
911,78600
912,82700
913,89700
914,139900
915,107900
916,134100
917,143700
918,134100
919,38600
920,36600
921,38600
922,59950
923,45400
924,47400
925,72900
926,64650
927,53400
928,76400
929,85400
930,61600
931,63900
932,65700
933,108900
934,89100
935,70100
936,113700
937,103100
938,77850
939,159000
940,65300
941,52800
942,67300
943,51400
944,55900
945,119300
946,108900
947,84100
948,231300
949,236900
950,197300
951,239300
952,225500
953,231100
954,264600
955,197300
956,263500
957,226900
958,282800
959,306600
960,341900
961,266000
962,288500
963,235600
964,311000
965,326200
966,376100
967,292500
968,317300
969,259200
970,249100
971,250300
972,214800
973,297400
974,299200
975,315200
976,240500
977,241200
978,258700
979,208600
980,48685
981,46895
982,34095
983,34890
984,37745
985,38540
986,38085
987,38880
988,40370
989,39575
990,43035
991,41545
992,40750
993,42240
994,53895
995,46295
996,44305
997,69185
998,66895
999,45745
1000,43655
1001,47335
1002,45245
1003,76580
1004,55620
1005,54580
1006,37340
1007,29215
1008,31230
1009,32650
1010,44655
1011,35615
1012,57810
1013,58970
1014,55000
1015,53790
1016,54555
1017,55770
1018,37945
1019,39345
1020,46485
1021,43100
1022,43100
1023,31515
1024,29345
1025,33215
1026,31345
1027,28000
1028,29500
1029,36965
1030,38465
1031,37465
1032,40500
1033,33340
1034,30340
1035,32510
1036,39460
1037,38460
1038,34040
1039,35040
1040,78115
1041,81165
1042,68060
1043,71110
1044,81115
1045,84165
1046,74110
1047,71060
1048,83565
1049,86615
1050,58155
1051,61205
1052,62190
1053,65240
1054,80565
1055,83615
1056,71400
1057,54155
1058,57205
1059,55125
1060,58175
1061,59190
1062,62240
1063,36760
1064,38760
1065,56075
1066,54075
1067,49070
1068,47070
1069,53005
1070,55005
1071,56220
1072,54220
1073,53820
1074,55820
1075,52005
1076,50005
1077,46005
1078,48005
1079,48980
1080,38570
1081,40570
1082,67100
1083,63310
1084,66805
1085,63005
1086,61270
1087,57730
1088,62995
1089,57480
1090,84910
1091,68490
1092,64695
1093,65000
1094,68795
1095,76775
1096,107350
1097,61110
1098,39600
1099,45410
1100,41530
1101,48225
1102,42930
1103,42995
1104,34885
1105,39195
1106,40590
1107,45810
1108,39900
1109,34585
1110,53045
1111,47800
1112,50220
1113,46360
1114,47750
1115,44550
1116,50620
1117,44855
1125,54995
1126,76175
1127,75975
1128,63740
1129,61410
1130,63940
1131,61610
1132,96095
1133,96295
1134,76865
1135,77065
1136,50560
1137,47960
1138,50770
1139,47760
1140,46505
1141,46305
1142,49095
1143,43970
1144,46760
1145,49305
1146,54715
1147,54510
1148,50105
1149,52755
1150,52955
1151,77025
1152,77220
1153,78160
1154,64790
1155,64990
1156,62460
1157,62660
1158,66480
1159,64145
1160,97470
1161,97270
1162,99280
1163,78115
1164,77915
1165,80145
1166,51620
1167,48815
1168,51815
1169,47555
1170,47345
1171,50345
1172,50155
1173,47815
1174,49015
1175,49045
1176,49305
1177,45015
1178,51830
1179,50500
1180,53300
1181,46505
1182,55560
1183,55760
1184,54010
1185,53800
1186,56610
1187,54840
1188,51160
1189,52115
1190,91090
1191,78665
1192,103030
1193,92535
1194,66925
1195,58455
1196,63455
1197,61765
1198,69035
1199,65695
1200,28355
1201,22595
1202,24855
1203,27770
1204,33270
1205,38295
1206,32795
1207,38345
1208,48865
1209,43365
1210,55570
1211,56995
1212,59995
1213,46995
1214,49995
1215,46995
1216,49995
1217,42995
1218,45995
1219,42995
1220,45995
1221,37460
1222,40945
1223,35500
1224,38985
1225,27400
1226,31045
1227,29585
1228,33230
1229,33420
1230,36905
1231,31460
1232,34945
1233,43230
1234,41955
1235,47925
1236,46650
1237,47475
1238,42780
1239,48745
1240,44055
1241,51845
1242,47155
1243,53070
1244,48375
1245,48875
1246,44175
1247,47600
1248,42905
1249,48425
1250,43730
1251,45005
1252,49700
1253,50220
1254,55305
1255,50570
1256,57115
1257,52575
1258,58160
1259,48405
1260,53100
1261,54320
1262,49625
1263,48945
1264,53640
1265,54860
1266,50165
1267,48850
1268,50125
1269,45430
1270,44155
1271,45970
1272,50660
1273,44975
1274,50945
1275,46255
1276,49675
1277,51490
1278,46790
1279,32790
1280,32790
1281,33790
